,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,5,21.013564,167.201060,0.002493,0.002493,26.382724,327.543346,0.624069,0.539937,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,10,19.039796,165.227292,0.004455,0.004455,23.816661,324.977283,0.669515,0.568328,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,100,21.122549,167.310045,0.010057,0.010051,28.646846,329.807468,0.718600,0.592416,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,200,21.196520,167.384016,0.015126,0.015114,30.740793,331.901415,0.724219,0.581455,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,300,21.248271,167.435767,0.019731,0.019710,32.026466,333.187088,0.726529,0.567268,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,400,21.275276,167.462772,0.023454,0.023424,33.126891,334.287513,0.727344,0.561030,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.010000,500,21.307120,167.494616,0.027427,0.027390,33.892439,335.053061,0.728275,0.556546,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,5,17.300864,163.488360,0.000366,0.000366,21.462733,322.623355,0.534624,0.484149,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,10,19.048072,165.235568,0.000898,0.000898,25.088425,326.249047,0.577726,0.514005,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.020000,100,21.051990,167.239486,0.002909,0.002909,29.972700,331.133322,0.625947,0.544948,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
