,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,300,3.467046,24.957672,0.056896,0.056896,21.463205,78.406624,0.972782,0.970153
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,400,3.611931,25.102557,0.071440,0.071440,22.033722,78.977141,0.972875,0.970247
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.020000,500,3.556011,25.046637,0.086294,0.086294,22.629597,79.573016,0.973062,0.970433
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,5,2.391569,23.882195,0.000093,0.000093,15.277668,72.221087,0.939709,0.938248
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,10,2.755382,24.246008,0.000343,0.000343,17.726845,74.670264,0.948429,0.946689
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,100,3.360676,24.851302,0.010526,0.010526,20.612075,77.555494,0.957803,0.956016
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,200,3.405137,24.895763,0.021550,0.021550,21.271845,78.215264,0.958301,0.956514
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,300,3.476648,24.967274,0.033727,0.033727,21.779415,78.722834,0.958643,0.956856
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,400,3.513615,25.004241,0.044844,0.044844,22.321950,79.265369,0.958737,0.956949
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.030000,500,3.597847,25.088473,0.055121,0.055121,22.992542,79.935961,0.958955,0.957137
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,5,2.406598,23.897224,0.000031,0.000031,15.573063,72.516482,0.925290,0.924283
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,10,2.838361,24.328987,0.000156,0.000156,17.744214,74.687633,0.935630,0.934233
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,100,3.374983,24.865609,0.006166,0.006166,20.563136,77.506555,0.946093,0.944505
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,200,3.440658,24.931284,0.014419,0.014419,21.767315,78.710734,0.946560,0.944912
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,300,3.508202,24.998828,0.023014,0.023014,21.928245,78.871664,0.946810,0.945161
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,400,3.520029,25.010655,0.030301,0.030301,22.203804,79.147223,0.946965,0.945317
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.040000,500,3.558867,25.049493,0.038865,0.038865,22.931505,79.874924,0.947152,0.945503
