,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.040000,100,24832,0.906277,347918,0.988238,3319,115,238.260870,0,0,0,2.604594,21.748476,0.004631,0.004631,23976,1.142809,0,0,0,16.729887,62.834669,0.963636,0.961815
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.040000,200,24832,0.906277,347918,0.988238,3319,296,92.567568,0,0,0,2.681467,21.825349,0.011920,0.011920,23985,1.142381,0,0,0,17.284719,63.389501,0.963998,0.962177
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.040000,300,24832,0.906277,347918,0.988238,3319,495,55.353535,0,0,0,2.730302,21.874184,0.019934,0.019934,23993,1.142000,0,0,0,17.786415,63.891197,0.964320,0.962498
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.040000,400,24832,0.906277,347918,0.988238,3319,700,39.142857,0,0,0,2.827751,21.971633,0.028189,0.028189,23996,1.141857,0,0,0,18.204656,64.309438,0.964441,0.962619
,Cit-HepTh_component,27400,352059,0.000469,24832,3528.000000,0.040000,500,24832,0.906277,347918,0.988238,3319,918,29.847495,0,0,0,2.942892,22.086774,0.036968,0.036968,24001,1.141619,0,0,0,18.797062,64.901844,0.964642,0.962820
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,5,32111,0.933432,417050,0.991022,3391,236,145.766949,0,0,0,3.022596,24.513222,0.007350,0.007350,31452,1.093762,0,0,0,14.936024,71.879443,0.975772,0.972169
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,10,32111,0.933432,417050,0.991022,3391,379,90.767810,0,0,0,2.756782,24.247408,0.011803,0.011803,31606,1.088433,0,0,0,16.500864,73.444283,0.980194,0.976211
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,100,32111,0.933432,417050,0.991022,3391,2157,15.948540,0,0,0,3.329470,24.820096,0.067173,0.067173,31799,1.081826,0,0,0,19.631354,76.574773,0.986017,0.981828
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,200,32111,0.933432,417050,0.991022,3391,3383,10.168785,0,0,0,3.430142,24.920768,0.105353,0.105353,31809,1.081486,0,0,0,20.824003,77.767422,0.986329,0.982138
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,300,32111,0.933432,417050,0.991022,3391,4419,7.784793,0,0,0,3.465983,24.956609,0.137616,0.137616,31810,1.081452,0,0,0,21.811322,78.754741,0.986360,0.982169
,Cit-HepPh_component,34401,420828,0.000356,32111,6088.000000,0.010000,400,32111,0.933432,417050,0.991022,3391,5227,6.581404,0,0,0,3.523905,25.014531,0.162779,0.162779,31811,1.081418,0,0,0,22.297830,79.241249,0.986391,0.982200
