,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,100,1336,0.321308,5036,0.375037,4742,357,11.647059,0,0,0,0.407767,1.688367,0.264970,0.264376,1410,2.948936,0,0,0,1.816375,8.116124,0.982036,0.914923
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,200,1336,0.321308,5036,0.375037,4742,575,7.231304,0,0,0,0.444559,1.725159,0.424401,0.421875,1439,2.889507,0,0,0,2.176452,8.476201,0.986527,0.904598
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,300,1336,0.321308,5036,0.375037,4742,671,6.196721,0,0,0,0.476384,1.756984,0.493263,0.488872,1464,2.840164,0,0,0,2.479042,8.778791,0.988772,0.893171
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,400,1336,0.321308,5036,0.375037,4742,750,5.544000,0,0,0,0.515899,1.796499,0.547156,0.539483,1502,2.768309,0,0,0,2.807016,9.106765,0.992515,0.876984
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,500,1336,0.321308,5036,0.375037,4742,829,5.015682,0,0,0,0.546097,1.826697,0.598802,0.586081,1547,2.687783,0,0,0,3.060296,9.360045,0.992515,0.851638
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,5,3605,0.417342,14161,0.570387,7148,283,30.522968,0,0,0,0.839100,3.762228,0.074341,0.074033,3812,2.266002,0,0,0,2.593885,15.083689,0.992510,0.932014
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,10,3605,0.417342,14161,0.570387,7148,468,18.457265,0,0,0,0.701904,3.625032,0.122885,0.122039,3897,2.216577,0,0,0,2.893585,15.383389,0.996949,0.919652
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,100,3605,0.417342,14161,0.570387,7148,1547,5.583710,0,0,0,0.813513,3.736641,0.418308,0.413831,3950,2.186835,0,0,0,3.817766,16.307570,0.998336,0.909757
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,200,3605,0.417342,14161,0.570387,7148,1914,4.513062,0,0,0,0.842880,3.766008,0.519834,0.514129,3969,2.176367,0,0,0,4.516856,17.006660,0.998336,0.905409
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.010000,300,3605,0.417342,14161,0.570387,7148,2143,4.030798,0,0,0,0.885458,3.808586,0.583356,0.576955,3998,2.160580,0,0,0,5.007068,17.496872,0.998613,0.899326
