,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.020000,400,19.173060,133.437872,0.027810,0.027808,19.772793,246.082942,0.338288,0.337163
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.020000,500,19.628383,133.893195,0.031057,0.031056,19.988904,246.299053,0.350821,0.349654
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,5,8.686690,122.951502,0.000549,0.000549,13.369749,239.679898,0.069707,0.069694
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,10,15.633030,129.897842,0.001098,0.001098,15.971660,242.281809,0.127567,0.127480
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,100,18.725706,132.990518,0.007364,0.007364,18.840499,245.150648,0.225861,0.225428
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,200,18.572302,132.837114,0.012395,0.012395,19.239371,245.549520,0.238394,0.237937
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,300,19.294833,133.559645,0.015231,0.015231,19.533292,245.843441,0.249005,0.248505
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,400,19.554896,133.819708,0.018204,0.018203,19.765932,246.076081,0.258153,0.257635
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.030000,500,19.644886,133.909698,0.020857,0.020856,19.801755,246.111904,0.266661,0.266125
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,5,8.676533,122.941345,0.000412,0.000412,12.912990,239.223139,0.053652,0.053650
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,10,15.681636,129.946448,0.000778,0.000778,15.478059,241.788208,0.097745,0.097705
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,100,18.862213,133.127025,0.005260,0.005260,18.732310,245.042459,0.188446,0.188154
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,200,19.302192,133.567004,0.009422,0.009422,19.156698,245.466847,0.198234,0.197927
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,300,19.667301,133.932113,0.012212,0.012212,19.482168,245.792317,0.206513,0.206193
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,400,19.696611,133.961423,0.014225,0.014224,19.797529,246.107678,0.213466,0.213115
,Email-EuAll_component,224832,340795,0.000007,21863,8924.000000,0.040000,500,19.804408,134.069220,0.016832,0.016831,20.003054,246.313203,0.219823,0.219462
