,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,400,0.987615,3.910743,0.487101,0.486561,4.888626,17.378430,0.997226,0.933039
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.020000,500,1.018321,3.941449,0.534535,0.533647,5.210673,17.700477,0.997503,0.927761
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,5,0.612922,3.536050,0.002219,0.002219,2.346661,14.836465,0.965326,0.942068
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,10,0.686894,3.610022,0.014147,0.014147,2.886073,15.375877,0.982247,0.950349
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,100,0.816206,3.739334,0.166436,0.166389,3.712588,16.202392,0.992510,0.952863
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,200,0.850010,3.773138,0.268516,0.268441,4.153071,16.642875,0.993343,0.952394
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,300,0.891138,3.814266,0.341470,0.341375,4.541414,17.031218,0.993620,0.950637
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,400,0.940616,3.863744,0.405270,0.404933,4.916271,17.406075,0.993897,0.948385
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,500,0.999062,3.922190,0.454646,0.454017,5.248069,17.737873,0.994452,0.944913
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,5,0.592059,3.515187,0.001110,0.001110,2.403360,14.893164,0.951456,0.932572
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,10,0.647806,3.570934,0.006657,0.006657,2.946934,15.436738,0.972261,0.948323
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,100,0.792207,3.715335,0.123717,0.123683,3.728767,16.218571,0.984743,0.954301
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,200,0.865271,3.788399,0.215534,0.215474,4.251126,16.740930,0.986130,0.953594
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,300,0.906467,3.829595,0.287379,0.287299,4.712437,17.202241,0.988072,0.955216
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,400,0.931546,3.854674,0.347018,0.346729,5.021739,17.511543,0.988627,0.953196
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,500,0.982717,3.905845,0.398058,0.397507,5.320599,17.810403,0.989459,0.949933
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,5,1.112829,8.424665,0.047668,0.047481,3.319419,23.186142,0.971399,0.908333
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,10,0.982831,8.294667,0.076062,0.075717,3.704210,23.570933,0.983627,0.902281
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,100,1.106323,8.418159,0.273782,0.271811,4.672581,24.539304,0.988808,0.890112
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,200,1.153331,8.465167,0.366425,0.363636,5.160928,25.027651,0.989637,0.883768
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,300,1.196532,8.508368,0.416788,0.413531,5.591035,25.457758,0.990052,0.870128
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,400,1.240157,8.551993,0.462798,0.459182,6.072613,25.939336,0.990674,0.859712
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,500,1.290800,8.602636,0.495130,0.490857,6.631696,26.498419,0.991295,0.847449
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,5,0.875789,8.187625,0.004560,0.004560,3.057532,22.924255,0.947150,0.918408
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,10,0.975052,8.286888,0.012435,0.012435,3.782229,23.648952,0.964767,0.924345
