,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,10,60160,0.184693,292420,0.261659,168690,30,10857.633333,0,0,0,19.030515,165.218011,0.000499,0.000499,37277,8.738069,0,0,0,25.116371,326.276993,0.522939,0.476833,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,100,60160,0.184693,292420,0.261659,168690,124,2626.846774,0,0,0,21.045708,167.233204,0.001995,0.001995,41451,7.858170,0,0,0,30.024546,331.185168,0.568667,0.507582,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,200,60160,0.184693,292420,0.261659,168690,228,1428.635965,0,0,0,21.098768,167.286264,0.003607,0.003606,43347,7.514453,0,0,0,31.467980,332.628602,0.573703,0.500254,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,300,60160,0.184693,292420,0.261659,168690,329,990.057751,0,0,0,21.152135,167.339631,0.005070,0.005068,45827,7.107797,0,0,0,32.458952,333.619574,0.575682,0.485369,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,400,60160,0.184693,292420,0.261659,168690,428,761.049065,0,0,0,21.205703,167.393199,0.006516,0.006512,46527,7.000860,0,0,0,33.150446,334.311068,0.576812,0.482052,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.030000,500,60160,0.184693,292420,0.261659,168690,555,586.899099,0,0,0,21.299655,167.487151,0.008561,0.008555,47044,6.923922,0,0,0,33.802947,334.963569,0.577959,0.480023,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,5,60160,0.184693,292420,0.261659,168690,8,40716.125000,0,0,0,17.311247,163.498743,0.000133,0.000133,29675,10.976546,0,0,0,21.431446,322.592068,0.436586,0.413167,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,10,60160,0.184693,292420,0.261659,168690,24,13572.041667,0,0,0,19.043873,165.231369,0.000399,0.000399,33546,9.709921,0,0,0,25.008362,326.168984,0.481134,0.446951,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,100,60160,0.184693,292420,0.261659,168690,95,3428.726316,0,0,0,21.039469,167.226965,0.001513,0.001513,37569,8.670154,0,0,0,29.960667,331.121289,0.525283,0.477876,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,200,60160,0.184693,292420,0.261659,168690,178,1829.938202,0,0,0,21.085106,167.272602,0.002776,0.002775,39337,8.280474,0,0,0,31.392407,332.553029,0.530901,0.472764,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,300,60160,0.184693,292420,0.261659,168690,280,1163.317857,0,0,0,21.200309,167.387805,0.004255,0.004254,41941,7.766362,0,0,0,32.479128,333.639750,0.533211,0.458107,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
,web-NotreDame_component,325729,1117563,0.000011,60160,26447.000000,0.040000,400,60160,0.184693,292420,0.261659,168690,355,917.546479,0,0,0,21.293135,167.480631,0.005303,0.005299,42675,7.632783,0,0,0,33.367371,334.527993,0.534791,0.455308,259090.600000,250.692576,497.620000,79.229596,371.980000,108.446512
